Date,Open,High,Low,Close,Adj Close,Volume
6/30/1981,0.466518,0.466518,0.464286,0.464286,0.38127,8976800
7/1/1981,0.462054,0.462054,0.459821,0.459821,0.377604,42616000
7/2/1981,0.459821,0.462054,0.459821,0.459821,0.377604,7571200
7/6/1981,0.448661,0.448661,0.444196,0.444196,0.364773,4132800
7/7/1981,0.448661,0.453125,0.448661,0.448661,0.368439,3959200
7/8/1981,0.466518,0.46875,0.466518,0.466518,0.383103,4155200
7/9/1981,0.433036,0.433036,0.430804,0.430804,0.353775,8220800
7/10/1981,0.399554,0.399554,0.397321,0.397321,0.32628,13792800
7/13/1981,0.40625,0.408482,0.40625,0.40625,0.333612,11435200
7/14/1981,0.424107,0.428571,0.424107,0.424107,0.348276,4944800
7/15/1981,0.435268,0.4375,0.435268,0.435268,0.357441,2738400
7/16/1981,0.446429,0.450893,0.446429,0.446429,0.366606,3808000
7/17/1981,0.462054,0.464286,0.462054,0.462054,0.379437,4956000
7/20/1981,0.433036,0.433036,0.430804,0.430804,0.353775,5913600
7/21/1981,0.430804,0.430804,0.428571,0.428571,0.351942,7985600
7/22/1981,0.408482,0.408482,0.404018,0.404018,0.331779,5667200
7/23/1981,0.415179,0.417411,0.415179,0.415179,0.340944,8612800
7/24/1981,0.428571,0.430804,0.428571,0.428571,0.351942,7212800
7/27/1981,0.446429,0.448661,0.446429,0.446429,0.366606,4334400
7/28/1981,0.433036,0.433036,0.430804,0.430804,0.353775,5712000
7/29/1981,0.426339,0.426339,0.424107,0.424107,0.348276,3875200
7/30/1981,0.439732,0.444196,0.439732,0.439732,0.361107,2475200
7/31/1981,0.446429,0.448661,0.446429,0.446429,0.366606,2738400
8/3/1981,0.446429,0.446429,0.441964,0.441964,0.36294,3108000
8/4/1981,0.448661,0.450893,0.448661,0.448661,0.368439,7918400
8/5/1981,0.462054,0.464286,0.462054,0.462054,0.379437,4373600
8/6/1981,0.453125,0.453125,0.450893,0.450893,0.370272,2632000
8/7/1981,0.450893,0.453125,0.450893,0.450893,0.370272,2301600
8/11/1981,0.441964,0.441964,0.4375,0.4375,0.359274,17864000
8/12/1981,0.430804,0.430804,0.428571,0.428571,0.351942,6568800
8/13/1981,0.417411,0.417411,0.415179,0.415179,0.340944,6871200
8/14/1981,0.412946,0.412946,0.408482,0.408482,0.335445,6048000
8/17/1981,0.399554,0.399554,0.395089,0.395089,0.324447,4726400
8/18/1981,0.390625,0.390625,0.386161,0.386161,0.317114,4250400
8/19/1981,0.386161,0.386161,0.381696,0.381696,0.313448,5168800
8/20/1981,0.386161,0.388393,0.386161,0.386161,0.317114,4278400
8/21/1981,0.363839,0.363839,0.359375,0.359375,0.295118,10477600
8/24/1981,0.339286,0.339286,0.337054,0.337054,0.276788,5768000
8/25/1981,0.345982,0.348214,0.345982,0.345982,0.28412,10175200
8/26/1981,0.341518,0.341518,0.339286,0.339286,0.278621,8400000
8/27/1981,0.341518,0.34375,0.341518,0.341518,0.280454,6479200
8/28/1981,0.359375,0.361607,0.359375,0.359375,0.295118,9508800
8/31/1981,0.359375,0.361607,0.359375,0.359375,0.295118,10236800
9/1/1981,0.381696,0.383929,0.381696,0.381696,0.313448,9256800
9/2/1981,0.388393,0.390625,0.388393,0.388393,0.318947,4844000
9/3/1981,0.372768,0.372768,0.368304,0.368304,0.30245,9368800
9/4/1981,0.366071,0.366071,0.363839,0.363839,0.298784,3813600
9/8/1981,0.354911,0.354911,0.352679,0.352679,0.289619,6361600
9/9/1981,0.352679,0.354911,0.352679,0.352679,0.289619,7632800
9/10/1981,0.354911,0.357143,0.354911,0.354911,0.291452,8702400
9/11/1981,0.352679,0.352679,0.350446,0.350446,0.287786,4384800
9/14/1981,0.341518,0.341518,0.339286,0.339286,0.278621,6921600
9/15/1981,0.332589,0.332589,0.330357,0.330357,0.271289,4877600
9/16/1981,0.325893,0.325893,0.323661,0.323661,0.26579,4838400
9/17/1981,0.316964,0.316964,0.314732,0.314732,0.258457,4844000
9/18/1981,0.316964,0.319196,0.316964,0.316964,0.26029,6580000
9/21/1981,0.319196,0.321429,0.319196,0.319196,0.262124,12258400
9/22/1981,0.303571,0.303571,0.301339,0.301339,0.247459,11855200
9/23/1981,0.299107,0.299107,0.294643,0.294643,0.24196,7050400
9/24/1981,0.294643,0.294643,0.292411,0.292411,0.240127,4575200
9/25/1981,0.258929,0.258929,0.254464,0.254464,0.208966,8652000
9/28/1981,0.256696,0.258929,0.256696,0.256696,0.210798,22932000
9/29/1981,0.270089,0.272321,0.270089,0.270089,0.221797,23671200
9/30/1981,0.272321,0.274554,0.272321,0.272321,0.22363,12499200
10/1/1981,0.272321,0.274554,0.272321,0.272321,0.22363,15282400
10/2/1981,0.294643,0.296875,0.294643,0.294643,0.24196,11261600
10/5/1981,0.303571,0.308036,0.303571,0.303571,0.249292,10774400
10/6/1981,0.303571,0.303571,0.301339,0.301339,0.247459,7089600
10/7/1981,0.319196,0.323661,0.319196,0.319196,0.262124,9710400
10/8/1981,0.330357,0.332589,0.330357,0.330357,0.271289,7772800
10/9/1981,0.332589,0.337054,0.332589,0.332589,0.273122,13630400
10/12/1981,0.34375,0.345982,0.34375,0.34375,0.282287,6837600
10/13/1981,0.34375,0.348214,0.34375,0.34375,0.282287,11048800
10/14/1981,0.325893,0.325893,0.323661,0.323661,0.26579,7744800
10/15/1981,0.330357,0.332589,0.330357,0.330357,0.271289,7358400
10/16/1981,0.328125,0.328125,0.325893,0.325893,0.267622,9116800
10/19/1981,0.332589,0.334821,0.332589,0.332589,0.273122,5146400
10/20/1981,0.350446,0.352679,0.350446,0.350446,0.287786,8932000
10/21/1981,0.350446,0.352679,0.350446,0.350446,0.287786,19224800
10/22/1981,0.350446,0.350446,0.348214,0.348214,0.285953,8069600
10/23/1981,0.341518,0.341518,0.339286,0.339286,0.278621,6977600
10/26/1981,0.339286,0.341518,0.339286,0.339286,0.278621,6820800
10/27/1981,0.345982,0.350446,0.345982,0.345982,0.28412,21397600
10/28/1981,0.357143,0.359375,0.357143,0.357143,0.293285,11043200
10/29/1981,0.354911,0.354911,0.352679,0.352679,0.289619,7621600
10/30/1981,0.357143,0.359375,0.357143,0.357143,0.293285,13182400
11/2/1981,0.357143,0.359375,0.357143,0.357143,0.293285,9228800
11/3/1981,0.354911,0.354911,0.352679,0.352679,0.289619,7095200
11/4/1981,0.345982,0.345982,0.34375,0.34375,0.282287,5952800
11/5/1981,0.321429,0.321429,0.319196,0.319196,0.262124,5840800
11/6/1981,0.321429,0.323661,0.321429,0.321429,0.263956,6148800
11/9/1981,0.325893,0.328125,0.325893,0.325893,0.267622,5096000
